OxySoft export of:	C:\Users\User\Desktop\Thesis\oxysoft_data\trial6
Export date:	2024/08/23 11:45:09
Start of measurement:	2024-08-23 11:34:01.518

Datafile sample rate:	50.00	Hz
Datafile duration:	640.940	s
Datafile total number of samples:	32047

Description:	

Optode-template:	OctaMon 2x4 channel
Optode distance (mm):	 35.00	35.00
Optode gradients (mm):	 -	-
DPF:	6.00	6.00

Device id:	16165
# Receivers:	2
# Light sources:	16
# ADC:	1

Light source wavelengths:
device	index	wavelength
1	1	850	nm
1	2	760	nm
1	3	850	nm
1	4	760	nm
1	5	850	nm
1	6	760	nm
1	7	850	nm
1	8	760	nm
1	9	850	nm
1	10	760	nm
1	11	850	nm
1	12	760	nm
1	13	850	nm
1	14	760	nm
1	15	850	nm
1	16	760	nm

Export sample rate:	50.00	Hz
Selected time span:	0	640.940
Selected time span (sample numbers):	0	32047


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (trial6)
3	Rx1-Tx1 HHb (trial6)
4	Rx1-Tx2 O2Hb (trial6)
5	Rx1-Tx2 HHb (trial6)
6	Rx1-Tx3 O2Hb (trial6)
7	Rx1-Tx3 HHb (trial6)
8	Rx1-Tx4 O2Hb (trial6)
9	Rx1-Tx4 HHb (trial6)
10	Rx2-Tx5 O2Hb (trial6)
11	Rx2-Tx5 HHb (trial6)
12	Rx2-Tx6 O2Hb (trial6)
13	Rx2-Tx6 HHb (trial6)
14	Rx2-Tx7 O2Hb (trial6)
15	Rx2-Tx7 HHb (trial6)
16	Rx2-Tx8 O2Hb (trial6)
17	Rx2-Tx8 HHb (trial6)
18	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
     0	53.4879	52.7319	-0.0004	 0.0000	73.0510	61.3860	67.7050	60.4884	78.4573	58.2874	-0.0004	 0.0000	94.8812	71.9661	92.1236	65.0998	
     1	-0.1635	 0.0595	-0.0004	 0.0000	 0.0731	 0.0587	 0.0292	 0.1387	 0.0320	-0.0472	-0.0004	 0.0000	-0.1051	-0.0115	-0.0409	 0.0149	
     2	-0.0320	 0.0472	-0.0004	 0.0000	 0.0667	 0.0681	 0.0292	 0.1387	 0.0320	-0.0472	-0.0004	 0.0000	-0.0979	-0.0071	-0.0336	 0.0194	
     3	-0.0640	 0.0944	-0.0004	 0.0000	 0.1140	 0.0438	 0.0837	 0.1188	 0.0320	-0.0472	-0.0004	 0.0000	-0.0842	-0.0120	-0.0400	 0.0288	
     4	 0.0540	 0.0870	-0.0004	 0.0000	 0.1894	 0.0235	 0.1382	 0.0990	 0.0729	-0.0621	-0.0004	 0.0000	-0.0842	-0.0120	-0.0400	 0.0288	
     5	-0.0960	 0.1416	-0.0004	 0.0000	 0.1830	 0.0329	 0.1382	 0.0990	 0.0937	-0.0626	-0.0004	 0.0000	-0.0706	-0.0170	-0.0264	 0.0238	
     6	-0.0640	 0.0944	-0.0004	 0.0000	 0.1549	 0.0289	 0.0965	 0.1000	 0.0937	-0.0626	-0.0004	 0.0000	-0.0706	-0.0170	-0.0200	 0.0144	
     7	-0.0320	 0.0472	-0.0004	 0.0000	 0.1549	 0.0289	 0.0965	 0.1000	 0.0537	-0.0338	-0.0004	 0.0000	-0.0706	-0.0170	-0.0200	 0.0144	
     8	-0.0320	 0.0472	-0.0004	 0.0000	 0.0859	 0.0398	 0.0484	 0.1104	 0.0409	-0.0149	-0.0004	 0.0000	-0.0706	-0.0170	-0.0200	 0.0144	
     9	 0.0860	 0.0398	-0.0004	 0.0000	 0.1268	 0.0249	 0.0484	 0.1104	 0.0128	-0.0189	-0.0004	 0.0000	-0.0778	-0.0215	-0.0208	 0.0005	
    10	-0.0320	 0.0472	-0.0004	 0.0000	 0.1268	 0.0249	 0.0612	 0.0915	-0.0017	-0.0279	-0.0004	 0.0000	-0.0915	-0.0165	-0.0345	 0.0054	
    11	 0.1180	-0.0074	-0.0004	 0.0000	 0.1549	 0.0289	 0.1029	 0.0905	-0.0507	-0.0314	 7.7037	-11.3645	-0.0987	-0.0210	-0.0625	 0.0014	
    12	 0.1180	-0.0074	-0.0004	 0.0000	 0.1549	 0.0289	 0.1157	 0.0716	-0.0779	-0.0214	 7.7037	-11.3645	-0.1196	-0.0205	-0.0762	 0.0064	
    13	 0.0000	-0.0000	-0.0004	 0.0000	 0.1268	 0.0249	 0.0740	 0.0726	-0.0988	-0.0209	 7.7037	-11.3645	-0.1332	-0.0155	-0.0834	 0.0019	
    14	 0.0320	-0.0472	-0.0004	 0.0000	 0.0923	 0.0304	 0.0322	 0.0736	-0.0779	-0.0214	-0.0004	 0.0000	-0.1268	-0.0250	-0.0834	 0.0019	
    15	-0.1315	 0.0123	-0.0004	 0.0000	 0.0514	 0.0453	-0.0159	 0.0840	-0.1132	-0.0299	-0.0004	 0.0000	-0.1404	-0.0200	-0.0906	-0.0025	
    16	-0.0996	-0.0349	-0.0004	 0.0000	 0.0233	 0.0413	-0.0993	 0.0859	-0.1068	-0.0393	-0.0004	 0.0000	-0.1476	-0.0245	-0.1179	 0.0074	
    17	-0.2175	-0.0275	-0.0004	 0.0000	 0.0233	 0.0413	-0.1410	 0.0869	-0.1349	-0.0433	-0.0004	 0.0000	-0.1549	-0.0290	-0.1115	-0.0021	
    18	-0.0676	-0.0821	-0.0004	 0.0000	 0.0105	 0.0601	-0.0993	 0.0859	-0.1349	-0.0433	-0.0004	 0.0000	-0.1757	-0.0285	-0.1324	-0.0016	
