OxySoft export of:	C:\Users\User\Desktop\Thesis\oxysoft_data\trial4
Export date:	2024/08/23 11:16:16
Start of measurement:	2024-08-23 11:06:15.926

Datafile sample rate:	50.00	Hz
Datafile duration:	574.700	s
Datafile total number of samples:	28735

Description:	

Optode-template:	OctaMon 2x4 channel
Optode distance (mm):	 35.00	35.00
Optode gradients (mm):	 -	-
DPF:	6.00	6.00

Device id:	16165
# Receivers:	2
# Light sources:	16
# ADC:	1

Light source wavelengths:
device	index	wavelength
1	1	850	nm
1	2	760	nm
1	3	850	nm
1	4	760	nm
1	5	850	nm
1	6	760	nm
1	7	850	nm
1	8	760	nm
1	9	850	nm
1	10	760	nm
1	11	850	nm
1	12	760	nm
1	13	850	nm
1	14	760	nm
1	15	850	nm
1	16	760	nm

Export sample rate:	50.00	Hz
Selected time span:	0	574.700
Selected time span (sample numbers):	0	28735


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (trial4)
3	Rx1-Tx1 HHb (trial4)
4	Rx1-Tx2 O2Hb (trial4)
5	Rx1-Tx2 HHb (trial4)
6	Rx1-Tx3 O2Hb (trial4)
7	Rx1-Tx3 HHb (trial4)
8	Rx1-Tx4 O2Hb (trial4)
9	Rx1-Tx4 HHb (trial4)
10	Rx2-Tx5 O2Hb (trial4)
11	Rx2-Tx5 HHb (trial4)
12	Rx2-Tx6 O2Hb (trial4)
13	Rx2-Tx6 HHb (trial4)
14	Rx2-Tx7 O2Hb (trial4)
15	Rx2-Tx7 HHb (trial4)
16	Rx2-Tx8 O2Hb (trial4)
17	Rx2-Tx8 HHb (trial4)
18	(Event)


1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
     0	51.9865	51.9632	-0.0004	 0.0000	72.4853	61.3573	64.7227	59.8749	78.8183	58.6181	-0.0004	 0.0000	94.2238	72.2694	91.3037	64.4314	
     1	51.9865	51.9632	-0.0004	 0.0000	72.4853	61.3573	64.7227	59.8749	78.8183	58.6181	-0.0004	 0.0000	94.2238	72.2694	91.3037	64.4314	
     2	-0.1452	 0.0173	-0.0004	 0.0000	 0.1703	 0.0517	 0.0267	 0.0969	 0.1685	 0.0239	-0.0004	 0.0000	 0.3171	 0.0623	 0.1686	 0.0239	
     3	 0.0000	-0.0000	-0.0004	 0.0000	 0.1831	 0.0329	 0.0395	 0.0780	 0.1059	 0.0254	-0.0004	 0.0000	 0.2681	 0.0588	 0.1197	 0.0204	
     4	 0.0000	-0.0000	-0.0004	 0.0000	 0.1831	 0.0329	 0.0395	 0.0780	 0.1059	 0.0254	-0.0004	 0.0000	 0.2681	 0.0588	 0.1197	 0.0204	
     5	-0.1452	 0.0173	-0.0004	 0.0000	 0.1486	 0.0383	 0.0523	 0.0591	 0.0778	 0.0214	-0.0004	 0.0000	 0.2536	 0.0498	 0.1124	 0.0160	
     6	-0.1452	 0.0173	-0.0004	 0.0000	 0.1614	 0.0194	-0.0031	 0.0651	 0.1059	 0.0254	-0.0004	 0.0000	 0.2328	 0.0503	 0.1052	 0.0115	
     7	-0.1452	 0.0173	-0.0004	 0.0000	 0.1269	 0.0249	-0.0938	 0.0625	 0.1187	 0.0065	-0.0004	 0.0000	 0.2255	 0.0458	 0.1052	 0.0115	
     8	-0.1452	 0.0173	-0.0004	 0.0000	 0.0988	 0.0209	-0.1491	 0.0685	 0.0570	 0.0219	-0.0004	 0.0000	 0.1975	 0.0418	 0.0907	 0.0025	
     9	-0.3224	 0.0818	-0.0004	 0.0000	 0.0779	 0.0214	-0.1780	 0.0506	 0.0425	 0.0129	-0.0004	 0.0000	 0.1694	 0.0378	 0.0699	 0.0030	
