participant_id,test_block,test_type,test_number,,activity_start_time,test_start_time,,description,test_result_0,test_result_1,test_result_2,,,,
testingTimestamp,1,1,1,143,2399,5590,325.179 855 673 292.278 864 599 118.689 778 664 88.4961 777 533 251.942 1066 815 ,Click1,0,772,603,6491,NA,,
testingTimestamp,1,1,1,143,2399,5590,325.179 855 673 292.278 864 599 118.689 778 664 88.4961 777 533 251.942 1066 815 ,Click1,1,767,650,6736,NA,,
testingTimestamp,1,1,1,143,2399,5590,325.179 855 673 292.278 864 599 118.689 778 664 88.4961 777 533 251.942 1066 815 ,Click1,2,879,666,7009,NA,,
testingTimestamp,1,1,1,143,2399,5590,325.179 855 673 292.278 864 599 118.689 778 664 88.4961 777 533 251.942 1066 815 ,Click1,3,938,636,7193,NA,,
testingTimestamp,1,1,1,143,2399,5590,325.179 855 673 292.278 864 599 118.689 778 664 88.4961 777 533 251.942 1066 815 ,Click1,4,1079,797,7495,NA,,
testingTimestamp,1,1,1,143,2399,5590,325.179 855 673 292.278 864 599 118.689 778 664 88.4961 777 533 251.942 1066 815 ,Summary,NA,NA,NA,7503,0.41,,
testingTimestamp,1,1,2,293,8184,11292,134.899 857 676 -2.98225 831 682 70.4261 830 591 210.932 730 801 157.625 934 550 ,Click1,0,834,582,11965,NA,,
testingTimestamp,1,1,2,293,8184,11292,134.899 857 676 -2.98225 831 682 70.4261 830 591 210.932 730 801 157.625 934 550 ,Click1,1,927,566,12468,NA,,
testingTimestamp,1,1,2,293,8184,11292,134.899 857 676 -2.98225 831 682 70.4261 830 591 210.932 730 801 157.625 934 550 ,Click1,2,806,682,12948,NA,,
testingTimestamp,1,1,2,293,8184,11292,134.899 857 676 -2.98225 831 682 70.4261 830 591 210.932 730 801 157.625 934 550 ,Click1,3,861,657,13341,NA,,
testingTimestamp,1,1,2,293,8184,11292,134.899 857 676 -2.98225 831 682 70.4261 830 591 210.932 730 801 157.625 934 550 ,Click1,4,785,741,13790,NA,,
testingTimestamp,1,1,2,293,8184,11292,134.899 857 676 -2.98225 831 682 70.4261 830 591 210.932 730 801 157.625 934 550 ,Summary,NA,NA,NA,13798,0.3,,
testingTimestamp,1,1,3,427,14871,17653,316.4 884 620 -3.85737 1104 704 282.994 917 821 351.409 690 869 366.148 927 582 ,Click1,0,923,600,18762,NA,,
testingTimestamp,1,1,3,427,14871,17653,316.4 884 620 -3.85737 1104 704 282.994 917 821 351.409 690 869 366.148 927 582 ,Click1,1,1015,662,19050,NA,,
testingTimestamp,1,1,3,427,14871,17653,316.4 884 620 -3.85737 1104 704 282.994 917 821 351.409 690 869 366.148 927 582 ,Click1,2,904,775,19375,NA,,
testingTimestamp,1,1,3,427,14871,17653,316.4 884 620 -3.85737 1104 704 282.994 917 821 351.409 690 869 366.148 927 582 ,Click1,3,732,676,19722,NA,,
